Release date: February 2017,,,,,,,,,
"Table HC3.5  Appliances in U.S. homes by household income, 20151",,,,,,,,,
,Number of housing units (million),,,,,,,,
,,Household income,,,,,,,
,Total U.S.2,"Less than $20,000","$20,000 to $39,999","$40,000 to $59,999","$60,000 to $79,999","$80,000 to $99,000","$100,000 to $119,999","$120,000 to  $139,999","$140,000 or more"
All homes,118.2,22.5,27.2,18.6,15.4,9.7,8.1,5.4,11.2
Stoves (units with both an oven and a cooktop),,,,,,,,,
Have a stove,108.1,21.5,25.6,17.5,14.2,8.9,7.0,4.7,8.7
1,105.8,21.2,25.2,17.3,13.6,8.7,6.9,4.6,8.3
2 or more,2.3,0.3,0.5,0.2,0.6,0.2,Q,Q,0.3
Do not have a stove,10.1,1.1,1.5,1.1,1.2,0.8,1.1,0.7,2.5
Most-used stove fuel,,,,,,,,,
Electricity,65.7,13.0,16.2,11.4,9.5,5.6,3.7,2.5,3.8
Natural gas,35.9,6.9,8.1,5.3,4.0,2.8,2.9,1.8,4.1
Propane,5.4,1.5,1.2,0.6,0.6,0.3,0.4,0.3,0.5
Dual fuel,1.0,Q,Q,Q,Q,Q,Q,Q,0.3
Do not have a stove,10.1,1.1,1.5,1.1,1.2,0.8,1.1,0.7,2.5
Most-used stove usage: cooktop part,,,,,,,,,
0 times per week,3.4,1.1,0.8,0.4,0.4,Q,Q,Q,0.2
1 to 3  times per week,16.8,4.3,4.0,2.6,2.2,1.2,0.8,0.7,1.0
4 to 7 times per week,50.6,8.9,12.0,8.6,6.6,4.4,3.4,2.5,4.3
8 to 14 times per week,23.9,4.3,5.5,4.0,3.0,2.2,1.8,1.1,2.0
15 or more times per week,13.4,2.9,3.3,2.0,2.0,0.9,0.9,0.3,1.2
Do not have a stove,10.1,1.1,1.5,1.1,1.2,0.8,1.1,0.7,2.5
Most-used stove usage: oven part,,,,,,,,,
0 times per week,18.2,5.7,4.9,2.6,1.6,1.0,0.9,0.6,0.9
1 to 3  times per week,56.8,10.4,13.5,9.3,7.6,5.1,3.4,2.4,5.1
